Date,Open,High,Low,Close,Adj Close,Volume
2002-09-13,53.549999,54.480000,53.349998,54.139999,32.892288,5852500
2002-09-16,54.139999,54.990002,53.650002,54.900002,33.354012,4178000
2002-09-17,54.900002,55.290001,53.389999,53.590000,32.558128,6619100
2002-09-18,53.080002,54.619999,53.060001,53.849998,32.716087,6092900
2002-09-19,53.000000,53.700001,51.799999,51.959999,31.567848,7171100
2002-09-20,51.959999,52.750000,51.950001,52.299999,31.774399,14184300
2002-09-23,51.500000,53.099998,51.450001,52.849998,32.108547,6307600
2002-09-24,51.900002,54.099998,51.860001,53.610001,32.570282,9870800
2002-09-25,54.250000,54.299999,52.950001,53.650002,32.594582,8673100
2002-09-26,54.189999,55.650002,53.880001,55.540001,33.742844,8433500
2002-09-27,55.290001,56.150002,54.799999,55.099998,33.475521,9142200
2002-09-30,54.250000,54.790001,53.700001,54.080002,32.855824,9658600
2002-10-01,54.950001,56.299999,54.299999,56.299999,34.204548,10937400
2002-10-02,57.509998,58.900002,57.509998,58.299999,35.419651,14252400
2002-10-03,58.450001,59.110001,57.250000,57.980000,35.225243,9910400
2002-10-04,57.980000,58.080002,56.490002,56.950001,34.599468,8789500
2002-10-07,56.950001,58.230000,56.509998,56.700001,34.447582,7987000
2002-10-08,57.400002,58.950001,56.880001,58.490002,35.535088,9291600
2002-10-09,57.500000,57.750000,55.660000,56.200001,34.143803,13585700
2002-10-10,55.500000,57.060001,54.599998,56.799999,34.508335,10439800
2002-10-11,57.029999,57.250000,55.310001,56.700001,34.447582,11088200
2002-10-14,56.709999,57.900002,56.709999,57.830002,35.134094,8537200
2002-10-15,58.849998,59.779999,57.439999,59.560001,36.185143,16208800
2002-10-16,59.299999,59.799999,58.349998,58.900002,35.784164,8431200
2002-10-17,59.500000,60.200001,59.049999,60.200001,36.573990,7710900
2002-10-18,59.400002,60.000000,59.200001,59.349998,36.057560,8034900
2002-10-21,59.500000,61.299999,59.410000,61.110001,37.126842,9120500
2002-10-22,60.669998,61.110001,58.200001,59.820000,36.343113,13097000
2002-10-23,58.820000,59.099998,56.750000,57.950001,35.207008,12622700
2002-10-24,57.950001,58.770000,56.700001,57.709999,35.061214,7484100
2002-10-25,57.720001,58.150002,57.090000,57.759998,35.091595,6248800
2002-10-28,57.980000,58.160000,56.900002,57.270000,34.793896,4633100
2002-10-29,57.020000,57.380001,55.860001,56.250000,34.174191,7658100
2002-10-30,56.720001,57.639999,56.560001,57.299999,34.812111,6951100
2002-10-31,57.340000,59.000000,57.330002,58.750000,35.693043,10225200
2002-11-01,58.330002,59.000000,57.459999,58.590000,35.595840,6595400
2002-11-04,59.500000,59.599998,58.369999,58.709999,35.668743,5810000
2002-11-05,58.720001,60.000000,58.720001,59.889999,36.385643,5490000
2002-11-06,59.900002,61.240002,59.099998,60.270000,36.616501,9856400
2002-11-07,60.279999,60.400002,59.410000,59.889999,36.385643,5367900
2002-11-08,60.099998,60.939999,59.950001,60.270000,36.616501,7055300
2002-11-11,60.270000,60.990002,59.509998,60.000000,36.452465,7682300
2002-11-12,60.200001,60.610001,59.689999,60.020000,36.464619,6361700
2002-11-13,60.000000,60.529999,59.000000,59.930000,36.409935,7231900
2002-11-14,60.369999,60.770000,60.000000,60.459999,36.731934,4675100
2002-11-15,60.250000,60.380001,59.799999,60.150002,36.667942,6941400
2002-11-18,59.900002,60.200001,59.080002,59.080002,36.015656,6652200
2002-11-19,59.000000,59.250000,58.419998,58.799999,35.844967,7504500
2002-11-20,58.599998,60.000000,58.360001,60.000000,36.576485,5325100
2002-11-21,60.000000,60.299999,59.070000,59.480000,36.259502,7669300
2002-11-22,59.480000,59.880001,58.490002,58.549999,35.692558,8759000
2002-11-25,58.160000,59.090000,57.750000,58.639999,35.747410,6340100
2002-11-26,57.759998,58.250000,56.299999,56.410000,34.388000,9157600
2002-11-27,56.849998,58.150002,56.700001,57.740002,35.198780,6314400
2002-11-29,57.740002,57.740002,56.570000,57.020000,34.759861,3977700
2002-12-02,56.590000,56.599998,54.250000,55.700001,33.955173,16267800
2002-12-03,55.700001,56.450001,55.500000,55.830002,34.034424,7983900
2002-12-04,55.830002,57.070000,55.669998,56.730000,34.583073,6885900
2002-12-05,56.939999,56.939999,55.669998,55.869999,34.058815,5608300
2002-12-06,55.000000,55.689999,54.810001,55.270000,33.693050,6843800
2002-12-09,55.080002,55.939999,54.900002,55.560001,33.869827,6364200
2002-12-10,55.849998,55.889999,55.000000,55.860001,34.052708,7587300
2002-12-11,55.400002,56.380001,55.400002,56.169998,34.241673,5503400
2002-12-12,56.180000,56.180000,54.910000,55.049999,33.558933,6618600
2002-12-13,55.060001,55.430000,54.439999,54.910000,33.473579,6102000
2002-12-16,54.770000,55.610001,54.450001,55.580002,33.882023,7184900
2002-12-17,54.950001,55.000000,54.250000,54.669998,33.327274,6540000
2002-12-18,54.240002,54.570000,53.169998,53.700001,32.735958,8207700
2002-12-19,53.180000,54.180000,53.180000,53.410000,32.559177,5661200
2002-12-20,53.950001,54.889999,53.750000,54.520000,33.235836,10787800
2002-12-23,54.889999,54.889999,54.049999,54.500000,33.223640,5118700
2002-12-24,54.250000,55.389999,54.250000,54.900002,33.467484,3333300
2002-12-26,54.959999,55.150002,53.689999,53.860001,32.833496,4564500
2002-12-27,53.750000,54.150002,53.000000,53.110001,32.376289,4307400
2002-12-30,53.200001,54.130001,53.099998,53.779999,32.784721,5465800
2002-12-31,53.799999,54.169998,53.250000,53.709999,32.742054,6322300
2003-01-02,54.250000,55.389999,53.849998,55.330002,33.729610,6483400
2003-01-03,56.000000,56.939999,56.000000,56.810001,34.631844,8743800
2003-01-06,56.560001,57.549999,56.360001,57.349998,34.961029,5920900
2003-01-07,57.099998,57.119999,55.900002,56.060001,34.174622,6527800
2003-01-08,56.060001,56.369999,55.450001,55.730000,33.973454,5548400
2003-01-09,56.369999,57.099998,55.919998,56.849998,34.656235,5949800
2003-01-10,56.849998,57.250000,56.330002,57.200001,34.869579,5190500
2003-01-13,57.200001,57.200001,55.759998,56.040001,34.162449,7579200
2003-01-14,55.599998,56.470001,55.590000,56.360001,34.357536,4987800
2003-01-15,56.599998,56.610001,54.869999,55.000000,33.528439,7758700
2003-01-16,55.700001,55.750000,54.160000,54.680000,33.333370,7760500
2003-01-17,54.689999,55.150002,54.529999,54.790001,33.400421,5628700
2003-01-21,55.299999,56.000000,53.799999,53.990002,32.912750,9805400
2003-01-22,53.990002,54.740002,53.430000,54.000000,32.918839,9650200
2003-01-23,54.450001,54.950001,54.250000,54.799999,33.406532,6783600
2003-01-24,54.810001,54.900002,53.169998,53.610001,32.681091,7866700
2003-01-27,53.049999,53.450001,51.700001,52.180000,31.809364,10544800
2003-01-28,52.799999,53.110001,51.740002,53.040001,32.333611,7595000
2003-01-29,52.250000,52.900002,51.799999,52.400002,31.943462,9095300
2003-01-30,52.270000,52.549999,51.540001,51.540001,31.419197,7733300
2003-01-31,52.099998,53.799999,51.750000,53.610001,32.681091,9962800
2003-02-03,53.500000,53.849998,52.959999,53.340000,32.516487,5852600
2003-02-04,52.509998,53.000000,51.610001,52.759998,32.162914,7022900
2003-02-05,52.759998,53.200001,52.070000,52.099998,31.760578,5935200
