,Date,Open,High,Low,Close,Adj Close,Volume,dias_da_semana,dia_ou_noite
129,2002-07-09,53.68,54.0,52.099998,52.619999,31.851719,9961700,1,noite
130,2002-07-10,52.099998,52.099998,49.790001000000004,50.299999,30.447405,16242700,2,noite
131,2002-07-11,49.099998,51.150002,49.099998,50.98,30.859005,15809200,3,noite
132,2002-07-12,51.380001,51.380001,49.439999,50.5,30.568455,9013200,4,noite
133,2002-07-15,49.5,49.689999,45.560001,49.0,29.660484000000004,20573100,0,noite
134,2002-07-16,49.400002,51.849998,48.799999,50.099998,30.326321000000004,13834600,1,noite
135,2002-07-17,51.700001,52.299999,50.110001000000004,51.240002000000004,31.016396999999998,9856000,2,noite
136,2002-07-18,50.82,51.349998,49.549999,49.73,30.10235,10158700,3,noite
137,2002-07-19,41.5,44.099998,41.450001,41.849998,25.33247,50702400,4,noite
138,2002-07-22,41.599998,43.599998,41.400002,42.529999,25.744085000000002,26346200,0,noite
139,2002-07-23,43.099998,45.700001,42.900002,44.080002,26.682327,20166800,1,noite
140,2002-07-24,44.16,48.799999,44.0,47.700001,28.873565999999997,21613600,2,noite
141,2002-07-25,47.650002,49.950001,46.849998,48.700001,29.478886,14378200,3,noite
142,2002-07-26,49.450001,49.700001,48.400002,49.610001000000004,30.029715000000003,10629900,4,noite
143,2002-07-29,50.0,51.400002,48.900002,51.259997999999996,31.0285,14282100,0,noite
144,2002-07-30,50.549999,52.0,50.200001,50.939999,30.834792999999998,15269400,1,noite
145,2002-07-31,50.849998,53.0,49.450001,52.599998,31.839624,16838000,2,noite
146,2002-08-01,53.0,53.009997999999996,51.200001,51.419998,31.125346999999998,11427200,3,noite
147,2002-08-02,52.099998,53.490002000000004,51.41,52.25,31.627756,10881400,4,noite
148,2002-08-05,52.5,52.5,49.75,50.099998,30.326321000000004,9156700,0,noite
149,2002-08-06,50.75,52.400002,50.700001,51.080002,30.919534999999996,7914300,1,noite
150,2002-08-07,51.5,52.540001000000004,50.970001,52.509997999999996,31.785142999999998,9141000,2,noite
151,2002-08-08,52.93,54.779999,52.200001,54.57,33.032092999999996,9260200,3,noite
152,2002-08-09,54.099998,54.98,53.400002,54.509997999999996,32.995777000000004,6758600,4,noite
153,2002-08-12,53.900002,54.950001,53.400002,54.580002,33.038143,5477200,0,noite
154,2002-08-13,54.099998,54.950001,53.299999,53.369999,32.305702000000004,6109900,1,noite
155,2002-08-14,53.490002000000004,55.5,52.52,55.5,33.595024,8291800,2,noite
156,2002-08-15,56.0,56.490002000000004,55.380001,55.970001,33.879536,8894600,3,noite
157,2002-08-16,55.990002000000004,56.27,55.150002,55.32,33.609184,7837000,4,noite
158,2002-08-19,55.009997999999996,56.380001,55.0,55.900002,33.961544,6412600,0,noite
159,2002-08-20,55.400002,55.73,54.330002,54.900002,33.354012,6432000,1,noite
160,2002-08-21,55.290001000000004,55.880001,53.549999,54.889998999999996,33.347927,8392800,2,noite
161,2002-08-22,55.099998,56.389998999999996,54.75,56.200001,34.143803000000005,5719100,3,noite
162,2002-08-23,56.200001,56.349998,54.5,54.82,33.305408,4753800,4,noite
163,2002-08-26,54.990002000000004,55.82,54.299999,55.709998999999996,33.846127,4402400,0,noite
164,2002-08-27,55.939999,56.5,54.369999,54.75,33.262875,5939300,1,noite
165,2002-08-28,54.5,54.869999,54.0,54.360001000000004,33.025954999999996,5038700,2,noite
166,2002-08-29,53.849998,54.669998,53.650002,54.16,32.90443,5092100,3,noite
167,2002-08-30,53.57,54.919998,53.419998,54.310001,32.99556,5920800,4,noite
168,2002-09-03,53.880001,54.150002,52.52,52.68,32.00526,8362000,1,noite
169,2002-09-04,53.25,54.66,52.900002,54.34,33.01379,8110000,2,noite
170,2002-09-05,54.34,54.970001,53.349998,54.419998,33.062393,6751900,3,noite
171,2002-09-06,55.099998,55.189999,54.5,54.919998,33.366165,5497900,4,noite
172,2002-09-09,54.25,55.709998999999996,54.200001,55.200001,33.536263,7212600,0,noite
173,2002-09-10,55.349998,55.5,54.650002,55.389998999999996,33.651714,5240400,1,noite
174,2002-09-11,56.25,56.25,55.450001,55.48,33.706367,3514300,2,noite
175,2002-09-12,54.5,54.900002,53.720001,53.970001,32.788994,6020300,3,noite
176,2002-09-13,53.549999,54.48,53.349998,54.139998999999996,32.892288,5852500,4,noite
177,2002-09-16,54.139998999999996,54.990002000000004,53.650002,54.900002,33.354012,4178000,0,noite
178,2002-09-17,54.900002,55.290001000000004,53.389998999999996,53.59,32.558128,6619100,1,noite
179,2002-09-18,53.080002,54.619999,53.060001,53.849998,32.716087,6092900,2,noite
180,2002-09-19,53.0,53.700001,51.799999,51.959998999999996,31.567847999999998,7171100,3,noite
181,2002-09-20,51.959998999999996,52.75,51.950001,52.299999,31.774399,14184300,4,noite
182,2002-09-23,51.5,53.099998,51.450001,52.849998,32.108546999999994,6307600,0,noite
183,2002-09-24,51.900002,54.099998,51.860001000000004,53.610001000000004,32.570282,9870800,1,noite
184,2002-09-25,54.25,54.299999,52.950001,53.650002,32.594582,8673100,2,noite
185,2002-09-26,54.189999,55.650002,53.880001,55.540001000000004,33.742844,8433500,3,noite
186,2002-09-27,55.290001000000004,56.150002,54.799999,55.099998,33.475521,9142200,4,noite
187,2002-09-30,54.25,54.790001000000004,53.700001,54.080002,32.855824,9658600,0,noite
188,2002-10-01,54.950001,56.299999,54.299999,56.299999,34.204547999999996,10937400,1,noite
189,2002-10-02,57.509997999999996,58.900002,57.509997999999996,58.299999,35.419651,14252400,2,noite
190,2002-10-03,58.450001,59.110001000000004,57.25,57.98,35.225243,9910400,3,noite
191,2002-10-04,57.98,58.080002,56.490002000000004,56.950001,34.599468,8789500,4,noite
192,2002-10-07,56.950001,58.23,56.509997999999996,56.700001,34.447582000000004,7987000,0,noite
193,2002-10-08,57.400002,58.950001,56.880001,58.490002000000004,35.535088,9291600,1,noite
194,2002-10-09,57.5,57.75,55.66,56.200001,34.143803000000005,13585700,2,noite
195,2002-10-10,55.5,57.060001,54.599998,56.799999,34.508334999999995,10439800,3,noite
